"","measured","predicted","sd","abs_delta","delta_ratio","CRPS"
"1",42.83,45.0490810212024,10.833768249711,2.21908102120243,0.0518113710297088,-2.71249888251614
"2",34.65,46.1929425461775,8.04239402619158,11.5429425461775,0.333129655012339,-7.55097598877749
"3",58.56,43.7610344275096,13.8076656841322,14.7989655724904,0.252714576032964,-9.01186774900205
"4",42.89,59.2722163725942,11.3033094549513,16.3822163725942,0.381958880219031,-10.7479168266455
"5",50.86,52.2528651072195,8.07945997164025,1.39286510721953,0.0273862584982212,-1.98368832468322
"6",68.27,46.5222868264492,8.57449901317001,21.7477131735508,0.318554462773558,-16.940763319159
"7",54.71,48.707143228717,8.02958180345007,6.00285677128299,0.10972138130658,-3.5878565960859
"8",33.89,32.5417587986175,1.82134881211224,1.34824120138249,0.0397828622420326,-0.806563453285918
"9",32.21,34.3246289726095,1.83344128342218,2.1146289726095,0.0656513186156319,-1.30640740713001
"10",16.95,19.9746030081276,11.0493807714894,3.02460300812759,0.17844265534676,-2.91043790241644
"11",22.43,17.5329890170474,9.88243060629488,4.89701098295257,0.218324163305955,-3.25821512899948
"12",16.83,21.4025144173698,10.5709303723018,4.5725144173698,0.271688319510981,-3.24735131452564
"13",32,38.5799876764935,7.27233815973102,6.57998767649347,0.205624614890421,-3.92495181760213
"14",36.4,35.799316893063,6.33441335441185,0.60068310693697,0.0165022831576091,-1.50302807970217
"15",44,51.3606701681214,10.2110543573634,7.36067016812135,0.167287958366394,-4.41593389089317
"16",49,49.175693781805,8.03914496153088,0.175693781805009,0.0035855873837757,-1.88023957649402
"17",40.5,43.80262551889,7.05162207440693,3.30262551889002,0.0815463091083955,-2.25396906585011
"18",49,45.0522927736741,6.86557141126364,3.94770722632589,0.0805654535984875,-2.48587283606286
"19",47.8,49.0033558778663,7.54007503512543,1.20335587786635,0.0251748091603839,-1.83853200081667
"20",53.2,52.1790770796104,9.71646646560552,1.02092292038956,0.0191902804584504,-2.31344454881467
"21",46.2,46.0328159488329,6.89345910822182,0.167184051167055,0.00361870240621332,-1.61258425824157
"22",45.8,46.1533394062176,6.50261081789102,0.353339406217614,0.00771483419689114,-1.52728520947897
"23",50.7,55.0000062250317,8.55584329620137,4.30000622503167,0.0848127460558515,-2.84391347708743
"24",46.2,45.998802470837,6.15677129300674,0.201197529163032,0.0043549248736587,-1.44142931827853
