"","measured","predicted","sd"
"1",42.83,45.0490810212024,10.833768249711
"2",34.65,46.1929425461775,8.04239402619158
"3",58.56,43.7610344275096,13.8076656841322
"4",42.89,59.2722163725942,11.3033094549513
"5",50.86,52.2528651072195,8.07945997164025
"6",68.27,46.5222868264492,8.57449901317001
"7",54.71,48.707143228717,8.02958180345007
"8",33.89,32.5417587986175,1.82134881211224
"9",32.21,34.3246289726095,1.83344128342218
"10",16.95,19.9746030081276,11.0493807714894
"11",22.43,17.5329890170474,9.88243060629488
"12",16.83,21.4025144173698,10.5709303723018
"13",32,38.5799876764935,7.27233815973102
"14",36.4,35.799316893063,6.33441335441185
"15",44,51.3606701681214,10.2110543573634
"16",49,49.175693781805,8.03914496153088
"17",40.5,43.80262551889,7.05162207440693
"18",49,45.0522927736741,6.86557141126364
"19",47.8,49.0033558778663,7.54007503512543
"20",53.2,52.1790770796104,9.71646646560552
"21",46.2,46.0328159488329,6.89345910822182
"22",45.8,46.1533394062176,6.50261081789102
"23",50.7,55.0000062250317,8.55584329620137
"24",46.2,45.998802470837,6.15677129300674
"25",45.6,49.0897517580674,6.33658732782369
"26",47.5,52.2259590204386,9.67713519729835
"27",53.6,45.6418033698526,8.77770871110336
"28",46.7,45.2757576285893,10.8703449311858
"29",44.2,46.2267719150883,11.1127123243032
"30",49.8,49.0835631362236,6.87027969324098
"31",45.1,58.6380071931283,7.85983114006944
"32",48.5,49.489739409825,9.28593681336422
"33",48.7,52.4500834606554,9.78954413734458
"34",52.7,50.0983729460371,9.46470044587902
"35",44.5,48.4918025958837,9.7099890845066
"36",50.3,54.6723514370657,11.3693298228784
"37",44.1,54.2192452925215,10.8976609352863
"38",48.4,55.6697725133202,11.3525687030393
"39",49.6,57.1983858506315,13.5729038530504
"40",54.4,58.234210417781,9.79767140135237
"41",58.2,53.7034637397148,11.6019150975202
"42",45.2,67.4824372390371,16.7003245906229
"43",4.14,14.8455713954263,7.86679053736944
"44",4.54,5.05990687539801,4.56230432809142
"45",4.31,8.98512085981383,4.89151710043666
"46",46.96,36.333667148681,4.42489231255922
"47",38.48,54.8146197529243,8.69103218577432
"48",47.74,42.217130477539,10.6366413337844
"49",35.19,41.2780628625381,12.5466225089805
"50",33.19,32.0587798909554,13.1329523383275
"51",14.29,27.1578803263169,12.9708187250111
"52",22.2,16.7016377220194,10.3761104025958
"53",44.4,43.7445867326552,12.0277718114207
"54",40.55,47.9115230241784,10.3539085703223
"55",42.77,49.0506037833377,9.42168567950649
"56",51.15,44.0128666015726,8.76154406630479
"57",47.56,48.5044941450029,6.95572352488109
"58",45.5,43.6471135969712,5.43771777304909
"59",43.6,48.4015428818986,6.44134372591406
"60",41.7,41.2506774189337,3.83808756956617
"61",46.7,51.1631935152358,8.31382055292675
"62",40.9,41.950415274857,3.65823933205026
"63",40.5,41.949415226415,5.85331673196587
"64",84.2,62.5166398181453,11.8000536898848
"65",60.4,52.0409718620775,11.54194760625
"66",70,44.7428723846729,8.56763231037824
"67",96.7,75.200514086425,10.9396916745489
"68",93.9,81.0669355878283,7.22872237242068
"69",91.4,89.8066795937741,6.06252575074008
"70",56.5,66.6335734285234,9.50489343540611
"71",88.4,89.872230421814,7.35068162015096
"72",47.8,46.6060693824358,6.85591176276795
"73",47,47.0080176022318,2.5166610145952
"74",48.2,45.7309205221801,3.40154915892877
"75",38.2,37.0078364709062,3.82916895057953
"76",30.1,34.4458806005946,3.36412960448763
"77",31,32.6677135741186,3.5831284003024
"78",36,36.3219230113779,3.91435740982638
"79",41.1,35.3854270861881,4.92404070884156
"80",47.9,47.3652497936305,2.60207505079907
"81",50.2,47.997708714842,3.69058495445517
"82",43.9,41.022632630026,6.22946374768341
"83",36.4,48.1956833538682,3.78187526376665
"84",31.4,38.7240327995455,7.54756092226071
"85",15.6,16.048302427266,5.34727262124789
"86",15.6,22.3051904100481,7.64628218006409
"87",36.2,22.7892437206309,8.01037911433602
"88",32.4,30.7286229876304,6.62427210609751
"89",34.7,29.2733081676731,5.45724965916301
"90",29.1,35.4569324869162,4.71366859389309
"91",34.1,26.9208985310953,3.34420726655229
"92",27,31.942425897562,3.24617315163475
"93",25.4,26.8781576367763,3.88143445792745
"94",29.1,22.8669759769675,3.84492620553663
