"","measured","predicted","sd"
"1",42.83,43.0730751476575,9.51804861509554
"2",34.65,45.3810066183259,6.85758155016721
"3",58.56,44.814080207605,13.3060605717861
"4",42.89,59.552213190561,9.78466109565566
"5",50.86,51.6749002717407,6.87150186518558
"6",68.27,45.9989283762838,7.45522905418296
"7",54.71,48.8084981181392,7.03668140667676
"8",33.89,34.6559983139634,2.78992066209158
"9",32.21,36.0515987166186,2.83725862008323
"10",16.95,19.8969709886883,9.68901404137481
"11",22.43,17.3918858147484,8.88013592858425
"12",16.83,21.1097427729182,9.5964878429954
"13",32,38.229278469988,6.39272218461225
"14",36.4,36.4748977853747,5.4802302065711
"15",44,52.3764593856865,8.93277534606623
"16",49,47.3678017889179,6.83631605227436
"17",40.5,43.3996433794365,6.06366495723042
"18",49,44.9303538255394,5.92306369169177
"19",47.8,48.9399349795721,6.73814951415895
"20",53.2,52.8554451456558,8.71369609518372
"21",46.2,45.8783828961769,6.41589129788327
"22",45.8,45.993573215887,6.18268048329826
"23",50.7,55.6392249772043,7.74270432765867
"24",46.2,45.951702402057,5.7132725354709
"25",45.6,49.2271399438159,5.86546565600273
"26",47.5,52.2595743653557,8.36713532790189
"27",53.6,44.4911854080442,7.96386130764901
"28",46.7,45.0224120590644,9.69085554804513
"29",44.2,46.1760692725431,10.1002106246569
"30",49.8,48.9078685545884,6.22575738853108
"31",45.1,58.4402865729257,6.93418360793755
"32",48.5,48.715980093442,8.30327572993755
"33",48.7,52.2719470201967,8.75062690244955
"34",52.7,49.264544107676,8.27624422923328
"35",44.5,47.789982129411,8.50748255547079
"36",50.3,54.2319349806684,9.97936702861231
"37",44.1,53.5970239008798,9.62632305751558
"38",48.4,56.2758681193427,10.018820608008
"39",49.6,55.6768513257269,12.5615388130814
"40",54.4,59.0694126600348,8.58725706756267
"41",58.2,54.5600265866231,10.7076571113884
"42",45.2,69.7315535481744,15.603012944194
"43",4.14,14.0495568607516,6.98432353909276
"44",4.54,6.62256826461483,4.25976775009273
"45",4.31,10.2024018578149,4.60237803565808
"46",46.96,36.5660129511547,4.54761652735018
"47",38.48,53.9267622465843,7.4086674517555
"48",47.74,42.3840209082239,9.57075731125948
"49",35.19,42.3054751553752,11.9709169474061
"50",33.19,32.5771720836874,12.732766821982
"51",14.29,26.1494161785282,12.5154422299428
"52",22.2,16.9080427185031,9.10790583729379
"53",44.4,44.0913085729019,11.0832322450297
"54",40.55,48.234422668028,9.25824178126441
"55",42.77,50.0574854893595,8.27297544270443
"56",51.15,44.3647941996396,7.48684206293315
"57",47.56,48.1146790927556,5.86747030201625
"58",45.5,43.5613099339523,4.7793667888312
"59",43.6,47.6876842654941,5.8293975370759
"60",41.7,41.6158023077062,3.91094323637713
"61",46.7,51.0700681786863,7.50180937278618
"62",40.9,42.1650787538601,3.77088388629922
"63",40.5,42.368569012265,5.20788221098988
"64",84.2,64.7858824713906,11.1306641720159
"65",60.4,51.6869377540729,10.3574809711442
"66",70,43.8335812262847,7.4288822612338
"67",96.7,78.3173572657866,10.1811924922891
"68",93.9,80.267227403099,6.43269561954278
"69",91.4,88.9016068656915,5.4788866165127
"70",56.5,66.4095333701286,8.07132548936498
"71",88.4,90.0673968869241,6.60413192934326
"72",47.8,46.7046171596904,6.1888299860696
"73",47,45.7059219198293,2.87641060670072
"74",48.2,44.3325232714454,3.21904260413666
"75",38.2,37.7819470580187,3.59118410125138
"76",30.1,36.1326903957363,3.25664078695709
"77",31,34.5879850049974,3.38985054252746
"78",36,35.8215884196223,3.67659942861449
"79",41.1,34.2441966636646,4.52648738820257
"80",47.9,46.3776874031235,3.00744791376517
"81",50.2,46.2682390915876,3.59834647983706
"82",43.9,40.9906960252783,5.58663877050319
"83",36.4,46.8856677842029,4.07082689008611
"84",31.4,38.6691991020229,6.82447184125795
"85",15.6,18.187093226552,4.96477299874975
"86",15.6,20.7018007125064,6.96216822377192
"87",36.2,21.7349528228074,7.07040222646965
"88",32.4,29.97417216977,5.62436528589687
"89",34.7,29.9775922360447,4.69091187935308
"90",29.1,34.4603126566181,4.17856207734302
"91",34.1,27.9109682075738,3.2472216125312
"92",27,31.0101295859328,3.12164939747154
"93",25.4,28.1915561453636,3.37758848745152
"94",29.1,23.5383299759865,3.525141603286
"95",33.3,27.5083992579534,3.22265429242646
"96",27.4,32.5301750729289,3.27875545546443
"97",34.6,28.4744875708819,3.52554246639951
"98",28.5,28.2491613227105,3.70959081429503
"99",22.9,28.2771461070773,3.10663215494115
"100",28.6,25.7613281915261,2.88586761512853
"101",29.1,25.3246478222798,2.91192449059235
"102",23.2,28.2512158607173,3.91516960131088
"103",46.2,34.612369206093,4.82053330200036
"104",27.6,19.4997156996675,5.9110704636516
"105",49.1,47.3047557624392,8.94328257169366
"106",59.3,58.4903439840568,7.12407186572266
"107",68,65.2226571754953,8.38843235833149
"108",74.2,62.7020153794648,9.52932098479798
"109",63.4,64.851187667889,8.22628617668322
"110",64.5,60.7947165692188,8.52234521556626
"111",58,52.7995245022736,8.48603501998067
"112",41,47.7098304792719,6.49265478797707
"113",48.6,45.7305656921145,8.88142666877451
"114",60.1,57.3962592719356,7.42869620340668
"115",70.6,65.318642408874,8.77341428400383
"116",58,57.9482898914144,9.81484875304666
"117",50.9,42.879230996927,6.88776866919405
"118",50.6,58.8807365740271,9.93736809666315
"119",33.6,25.0237691656351,6.16395659436317
"120",32.7,28.7629252029353,6.91199285678144
"121",32.7,28.5040649075823,9.04398383823056
"122",19,24.3935006205939,6.32172070333976
"123",16,18.9806531449277,5.97267741169042
"124",14,18.3309878340841,7.17548237285671
"125",10.9,24.8928749797919,4.04293012767347
