"","measured","predicted","sd","abs_delta","delta_ratio","CRPS"
"1",42.83,43.0730751476575,9.51804861509554,0.243075147657535,0.00567534783230295,-2.2267965481459
"2",34.65,45.3810066183259,6.85758155016721,10.7310066183259,0.309697160702047,-7.20818296214358
"3",58.56,44.814080207605,13.3060605717861,13.745919792395,0.234732236891991,-8.31988806245174
"4",42.89,59.552213190561,9.78466109565566,16.662213190561,0.388487134310119,-11.4971752156619
"5",50.86,51.6749002717407,6.87150186518558,0.814900271740676,0.0160224198140125,-1.64434416257355
"6",68.27,45.9989283762838,7.45522905418296,22.2710716237162,0.326220472004046,-18.0708679767722
"7",54.71,48.8084981181392,7.03668140667676,5.90150188186076,0.107868796963275,-3.51090154924258
"8",33.89,34.6559983139634,2.78992066209158,0.765998313963365,0.0226024878714478,-0.735369621764945
"9",32.21,36.0515987166186,2.83725862008323,3.84159871661861,0.11926726844516,-2.47092774528163
"10",16.95,19.8969709886883,9.68901404137481,2.94697098868831,0.17386259520285,-2.61912987921384
"11",22.43,17.3918858147484,8.88013592858425,5.03811418525157,0.224614988196682,-3.18593202650686
"12",16.83,21.1097427729182,9.5964878429954,4.27974277291823,0.254292499876306,-2.99171295958262
"13",32,38.229278469988,6.39272218461225,6.22927846998796,0.194664952187124,-3.74067868711241
"14",36.4,36.4748977853747,5.4802302065711,0.0748977853746666,0.002057631466337,-1.28111063278293
"15",44,52.3764593856865,8.93277534606623,8.37645938568647,0.19037407694742,-5.01023959770394
"16",49,47.3678017889179,6.83631605227436,1.6321982110821,0.033310167573104,-1.75234379952813
"17",40.5,43.3996433794365,6.06366495723042,2.89964337943647,0.0715961328255918,-1.95991969827319
"18",49,44.9303538255394,5.92306369169177,4.0696461744606,0.0830540035604204,-2.45781173972205
"19",47.8,48.9399349795721,6.73814951415895,1.1399349795721,0.0238480121249394,-1.65142472153835
"20",53.2,52.8554451456558,8.71369609518372,0.344554854344153,0.00647659500646905,-2.04178161373198
"21",46.2,45.8783828961769,6.41589129788327,0.321617103823101,0.0069614091736602,-1.50579200682144
"22",45.8,45.993573215887,6.18268048329826,0.193573215887028,0.00422648942984777,-1.44727899647299
"23",50.7,55.6392249772043,7.74270432765867,4.93922497720432,0.0974206109902232,-3.0254767946023
"24",46.2,45.951702402057,5.7132725354709,0.248297597943051,0.00537440688188421,-1.33946738808359
"25",45.6,49.2271399438159,5.86546565600273,3.62713994381591,0.0795425426275419,-2.23808986384183
"26",47.5,52.2595743653557,8.36713532790189,4.7595743653557,0.100201565586436,-3.00726182702281
"27",53.6,44.4911854080442,7.96386130764901,9.10881459195583,0.169940570745445,-5.61733245278386
"28",46.7,45.0224120590644,9.69085554804513,1.67758794093558,0.03592265398149,-2.3802718099738
"29",44.2,46.1760692725431,10.1002106246569,1.97606927254309,0.0447074496050473,-2.51411375533738
"30",49.8,48.9078685545884,6.22575738853108,0.892131445411579,0.0179142860524413,-1.50584177283747
"31",45.1,58.4402865729257,6.93418360793755,13.3402865729257,0.295793493856446,-9.57215715288348
"32",48.5,48.715980093442,8.30327572993755,0.215980093441999,0.00445319780292782,-1.94267494489456
"33",48.7,52.2719470201967,8.75062690244955,3.57194702019673,0.0733459347062984,-2.61870919441889
"34",52.7,49.264544107676,8.27624422923328,3.43545589232404,0.0651889163628851,-2.49499893286988
"35",44.5,47.789982129411,8.50748255547079,3.28998212941099,0.073932182683393,-2.48949387421487
"36",50.3,54.2319349806684,9.97936702861231,3.93193498066841,0.0781696815242228,-2.94229935332978
"37",44.1,53.5970239008798,9.62632305751558,9.49702390087982,0.215352015892966,-5.71144607414155
"38",48.4,56.2758681193427,10.018820608008,7.87586811934273,0.162724547920304,-4.691561179985
"39",49.6,55.6768513257269,12.5615388130814,6.07685132572693,0.12251716382514,-4.08602158451708
"40",54.4,59.0694126600348,8.58725706756267,4.66941266003477,0.0858347915447567,-2.99549107710225
"41",58.2,54.5600265866231,10.7076571113884,3.63997341337695,0.0625424985116314,-2.99126820720879
"42",45.2,69.7315535481744,15.603012944194,24.5315535481744,0.542733485579079,-16.5026254837792
"43",4.14,14.0495568607516,6.98432353909276,9.90955686075155,2.39361276829748,-6.46040646444428
"44",4.54,6.62256826461483,4.25976775009273,2.08256826461483,0.458715476787407,-1.39376912109404
"45",4.31,10.2024018578149,4.60237803565808,5.89240185781487,1.36714660274127,-3.73272835125008
"46",46.96,36.5660129511547,4.54761652735018,10.3939870488453,0.221337032556332,-7.8630047094883
"47",38.48,53.9267622465843,7.4086674517555,15.4467622465843,0.401423135306245,-11.3667685083421
"48",47.74,42.3840209082239,9.57075731125948,5.35597909177612,0.112190596811398,-3.40213509752904
"49",35.19,42.3054751553752,11.9709169474061,7.11547515537522,0.202201624193669,-4.43685948567037
"50",33.19,32.5771720836874,12.732766821982,0.612827916312597,0.0184642336942632,-2.98734834415199
"51",14.29,26.1494161785282,12.5154422299428,11.8594161785282,0.829910159449137,-7.10042393831688
"52",22.2,16.9080427185031,9.10790583729379,5.29195728149693,0.238376454121483,-3.32175313500779
"53",44.4,44.0913085729019,11.0832322450297,0.30869142709814,0.00695250961932747,-2.59352547503103
"54",40.55,48.234422668028,9.25824178126441,7.68442266802805,0.189504874673935,-4.57151097889877
"55",42.77,50.0574854893595,8.27297544270443,7.28748548935946,0.170387783244318,-4.34073090138316
"56",51.15,44.3647941996396,7.48684206293315,6.78520580036042,0.132653094826206,-4.04779083769196
"57",47.56,48.1146790927556,5.86747030201625,0.55467909275562,0.0116627227240458,-1.39210186212693
"58",45.5,43.5613099339523,4.7793667888312,1.93869006604769,0.042608572880169,-1.4264122654238
"59",43.6,47.6876842654941,5.8293975370759,4.08768426549408,0.0937542262728001,-2.46116419292974
"60",41.7,41.6158023077062,3.91094323637713,0.0841976922938272,0.00201912931160257,-0.914690913639946
"61",46.7,51.0700681786863,7.50180937278618,4.37006817868629,0.0935774770596636,-2.74095585792312
"62",40.9,42.1650787538601,3.77088388629922,1.26507875386006,0.0309310208767741,-1.04898382133872
"63",40.5,42.368569012265,5.20788221098988,1.868569012265,0.046137506475679,-1.4816882402766
"64",84.2,64.7858824713906,11.1306641720159,19.4141175286094,0.230571467085622,-13.4995665105526
"65",60.4,51.6869377540729,10.3574809711442,8.71306224592707,0.144255997449124,-5.18365543386654
"66",70,43.8335812262847,7.4288822612338,26.1664187737153,0.373805982481647,-21.975915887812
"67",96.7,78.3173572657866,10.1811924922891,18.3826427342134,0.190099718037367,-12.9251697295088
"68",93.9,80.267227403099,6.43269561954278,13.632772596901,0.14518394671886,-10.0823996501855
"69",91.4,88.9016068656915,5.4788866165127,2.49839313430854,0.0273347170055639,-1.72717892764712
"70",56.5,66.4095333701286,8.07132548936498,9.90953337012857,0.175389971152718,-6.21107304004496
"71",88.4,90.0673968869241,6.60413192934326,1.6673968869241,0.0188619557344355,-1.71041298485566
"72",47.8,46.7046171596904,6.1888299860696,1.09538284030961,0.0229159590022931,-1.52344240172192
"73",47,45.7059219198293,2.87641060670072,1.29407808017069,0.0275335761738445,-0.900626073458322
"74",48.2,44.3325232714454,3.21904260413666,3.86747672855456,0.080238106401547,-2.41145553702141
"75",38.2,37.7819470580187,3.59118410125138,0.418052941981301,0.0109437942927042,-0.858634682807598
"76",30.1,36.1326903957363,3.25664078695709,6.03269039573629,0.20042160783177,-4.27672405228907
"77",31,34.5879850049974,3.38985054252746,3.58798500499737,0.115741451774109,-2.18019812162231
