"","measured","predicted","sd"
"53",-5.21,-7.55797445198613,5.50509603111947
"54",-16.62,-15.4370779232639,4.99679556656165
"55",-18.17,-20.9084238160474,4.99636197397334
"56",-24.79,-25.1827275992836,5.01516463366229
"57",-30.73,-30.6896938073382,4.50065186010178
"58",-33.11,-31.4841292564442,5.51082517061419
"59",-31.25,-31.4282426592692,5.51408252461533
"60",-32.37,-31.6785152214548,5.51138665494944
"61",-33.51,-29.27104990949,5.45429908735789
"62",-33.3,-31.7412330228169,5.51203939197839
"63",-36.08,-31.751290941387,5.50250368738689
"64",-26.13,-29.1399981772425,5.36810260663351
"65",-21.35,-19.0208228729952,5.36046422071228
"66",-13.92,-18.1687471224054,5.50880591103756
"67",-25.42,-26.4586570719336,4.9072787629652
"68",-26.42,-19.7717340141772,5.47468378037066
"69",-27.56,-20.6461722552514,5.46524102814832
"70",-19,-19.7038144158121,5.31558028478094
"71",-29.28,-21.4910055513703,5.45174564267068
"72",-30.08,-29.502166091543,4.53316500300089
"73",-30,-23.8135388521003,5.50569096257855
"74",-23.7,-23.940223040186,5.524770610269
"75",-23.3,-23.588607396797,2.96205948196968
"76",-21.3,-22.4799928984846,2.70694942678326
"77",-20.8,-23.453207252765,5.49835376732771
"78",-15.2,-23.4503444761548,5.44790639546772
"79",-10.1,-23.3630138406438,5.36162896261046
"80",-30.1,-23.8255097425954,5.50317531480269
"81",-24.9,-23.9189873150925,5.52008208013729
"82",-23.2,-20.5259526775671,2.83838748326585
"83",-22.2,-13.7599525655658,3.80673014447068
"84",-16.9,-21.9316837705847,5.43375918430908
"85",-12,-20.7606489354292,5.40594604451591
"86",-10.6,-20.2410903081762,5.41036541491373
"87",-24.2,-19.7128370892047,5.4768182800862
"88",-24.7,-19.91356449489,5.45436790418145
"89",-24.1,-20.1234952965449,5.44645127327521
"90",-25.9,-20.1780424737934,5.42995945673182
"91",-25.7,-20.2697660112322,5.43017424192822
"92",-29.1,-20.2388271319402,5.39324242868995
"93",-23.6,-20.3924216285479,5.4439427722825
"94",-29.3,-14.4238162966139,2.82303039901103
"95",-27,-20.4633037979273,5.42336816239621
"96",-25.2,-20.5285681320665,5.44042367294325
"97",-24.3,-20.6041741858165,5.4503628704977
"98",-21.7,-20.7216748907042,5.46474257315734
"99",-14.3,-18.2881626886639,2.12588572590769
"100",-16.8,-20.945026421816,5.46235263792265
"101",-19.4,-15.3932992389694,1.84787250252664
"102",-14,-19.4249388045981,2.50153057321367
"103",-31,-22.0462750440434,5.39442020007899
"104",-27.9,-18.6272594686896,5.41464752500091
"105",-29.3,-24.4688568371511,5.31845383468955
"106",-29.1,-24.5560388452456,5.43272745307145
"107",-29.1,-25.0812423381734,5.42706303773528
"108",-30.3,-25.6574496625736,5.42064868632332
"109",-29,-26.3258225543801,5.43337663642735
"110",-29.3,-26.6674957238446,5.43593662286944
"111",-31.3,-28.1415271920394,5.45170470898712
"112",-35.1,-30.1782876353929,5.48323579266085
"113",-30.6,-23.6415962210636,5.47420344320217
"114",-23.3,-24.0461112171683,5.48580393843123
"115",-27,-24.2834752555407,5.47200884004239
"116",-27.3,-26.6038348313978,5.2871939832278
"117",-28.8,-27.8317142266437,5.34649387204452
"118",-35,-29.8382915646512,5.49133747534003
"119",-25.9,-18.8766228019741,5.45294340234934
"120",-23.8,-15.720598997522,4.24471277664671
"121",-21.6,-16.3151071254077,5.5923426522319
"122",-15.5,-19.0188004692305,3.55677575691353
"123",-14.7,-14.4033147577844,3.21509047803249
"124",-10.5,-17.718850613011,5.50681609570741
"125",-9.04,-27.041453260836,2.61443536127176
