"","var","rel.inf"
"mismatch.x","mismatch.x",11.1632496451081
"energy.cohesive","energy.cohesive",10.9919815587816
"S","S",7.99884880250629
"delta.r","delta.r",7.69227717623492
"VEN","VEN",7.6705320032192
"Tm","Tm",6.46039552000426
"H","H",6.01605662096886
"Lambda","Lambda",5.08253986303066
"YM","YM",4.57824098325632
"r.atom","r.atom",3.94407522658984
