"","var","rel.inf"
"Lambda","Lambda",26.3770052804776
"VEN","VEN",15.2942531089162
"delta.x","delta.x",7.50666201660288
"H","H",6.31717722771175
"r.atom","r.atom",3.97924779989093
"ou","ou",3.93962053026887
"x","x",3.68719598002865
"Density","Density",3.53780971108181
"S","S",3.36788102107594
"YM","YM",3.14038005869326
