"","measured","predicted","sd"
"46",-9.86,-19.576319442232,2.4943306717374
"47",-10.21,-13.4205651814135,4.86163149469091
"48",-9.7,-11.4239040832348,4.10749992893066
"49",-8.79,-10.3952384788887,4.96337137603616
"50",-5.15,-9.45302834262623,5.00959143455935
"51",-10.07,-8.34406319454641,5.1673679432202
"52",-16.63,-14.1396152992355,3.74014350363921
"53",-5.21,-7.10156078131396,4.79611657732033
"54",-16.62,-15.1523561388923,4.13371307669797
"55",-18.17,-21.1617490089136,4.13898941377178
"56",-24.79,-25.2600526211286,4.21697008093418
"57",-30.73,-31.0615567384123,3.61703032291121
"58",-33.11,-32.2026137458412,2.52048577942995
"59",-31.25,-32.5378664460094,2.81330969195522
"60",-32.37,-32.370205745734,3.55843640879911
"61",-33.51,-28.6425840479904,3.87627530262573
"62",-33.3,-34.0509003794855,2.46526265120457
"63",-36.08,-32.4966333774175,2.83863817527355
"64",-26.13,-29.2691335681155,4.97738326760729
"65",-21.35,-19.0677858711074,4.94731703300248
"66",-13.92,-17.415945857234,4.89420299950977
"67",-25.42,-27.5469420023753,4.14087131707503
"68",-26.42,-24.7237322859384,3.08233380060318
"69",-27.56,-26.5949385646961,2.52262095159453
"70",-19,-19.1664442345806,4.76939699432985
"71",-29.28,-26.0343153738491,2.87635968323801
"72",-30.08,-29.6879603686513,3.71240910459319
"73",-30,-26.8101725498805,1.73899316849342
"74",-23.7,-26.021768755405,1.93143479564685
"75",-23.3,-24.2178446712108,2.41766852473404
"76",-21.3,-22.8028042025064,2.30077067818402
"77",-20.8,-20.4702751828921,2.1583266103345
"78",-15.2,-17.0553966817187,2.49283157835057
"79",-10.1,-16.21357101317,2.71663185039042
"80",-30.1,-27.0242725576786,1.85197986675119
"81",-24.9,-26.1559502726578,1.84341575633287
"82",-23.2,-19.9499806977644,2.31877021766951
"83",-22.2,-14.6640674279228,3.24926613359179
"84",-16.9,-15.4286274294322,4.12417009110497
"85",-12,-11.9263053848371,3.31803362378571
"86",-10.6,-17.2466079372935,4.50397431459795
"87",-24.2,-23.0014558818574,3.46393456117346
"88",-24.7,-24.2646370811133,2.8507147755463
"89",-24.1,-26.631554209218,2.44006400473363
"90",-25.9,-25.7648762259426,2.21562148216938
"91",-25.7,-26.8068292807231,1.89797588367112
"92",-29.1,-25.6071466793577,1.81802876665477
